REGN,NAME_B,NUM_SC,DT,A_P,IITG_RUB,Применяется
1948,ДАЛЕНА,60.0,2024-12-01,1,10155000.0,
3175,ИС БАНК,604,2024-12-01,1,87350000.0,
3175,ИС БАНК,475,2024-12-01,1,2720000.0,
3175,ИС БАНК,60.0,2024-12-01,1,10602000.0,
3175,ИС БАНК,451,2024-12-01,1,498500000.0,Да
3415,БАНК РСИ,90.4,2024-12-01,1,48199000.0,
2776,АВТОТОРГБАНК,60.0,2024-12-01,1,86284000.0,
3124,НС БАНК,617,2024-12-01,1,111252000.0,
3306,ПЕТЕРБУРГСКИЙ РАСЧЕТНЫЙ ЦЕНТР,474,2024-12-01,1,435000.0,
3269,БАНК ОРЕНБУРГ,32.2,2024-12-01,1,3404000.0,
3269,БАНК ОРЕНБУРГ,453,2024-12-01,1,15974000.0,Да
3300,КОШЕЛЕВ-БАНК,20.0,2024-12-01,1,575727000.0,
3027,ЯНДЕКС,609,2024-12-01,1,1877292000.0,
3001,ПРИМОРЬЕ,477,2024-12-01,1,310597000.0,
3001,ПРИМОРЬЕ,304,2024-12-01,1,543255000.0,
2997,УГЛЕМЕТБАНК,475,2024-12-01,1,0.0,
1829,ИНБАНК,506,2024-12-01,1,314000000.0,
3136,ТАГАНРОГБАНК,20.0,2024-12-01,1,14118000.0,
3269,БАНК ОРЕНБУРГ,458,2024-12-01,1,1341931000.0,Да
3136,ТАГАНРОГБАНК,306,2024-12-01,1,7000.0,
3395,МБА-МОСКВА,939,2024-12-01,1,958614000.0,
2587,АКИБАНК,106,2024-12-01,1,137935000.0,
3300,КОШЕЛЕВ-БАНК,304,2024-12-01,1,41144000.0,
3300,КОШЕЛЕВ-БАНК,506,2024-12-01,1,133946000.0,
3365,МОСКОММЕРЦБАНК,90.5,2024-12-01,1,11928443000.0,
330,САРАТОВ,99998,2024-12-01,1,2710870000.0,
330,САРАТОВ,90.3,2024-12-01,1,3000.0,
2590,АК БАРС,324,2024-12-01,1,324839000.0,
2590,АК БАРС,470,2024-12-01,1,77331000.0,Да
3235,СЭБ БАНК,612,2024-12-01,1,0.0,
3255,БАНК ЗЕНИТ,619,2024-12-01,1,36604000.0,
3138,БАНК ЖИЛИЩНОГО ФИНАНСИРОВАНИЯ,319,2024-12-01,1,0.0,
3017,РЕСПУБЛИКАНСКИЙ КРЕДИТНЫЙ АЛЬЯНС,90.3,2024-12-01,1,2000.0,
3223,СВОЙ БАНК,319,2024-12-01,1,1331000000.0,
3223,СВОЙ БАНК,454,2024-12-01,1,157420000.0,Да
3318,РКЦ ДВ,706,2024-12-01,1,180571000.0,
2707,ЛОКО-БАНК,504,2024-12-01,1,9199235000.0,
2312,БАНК ДОМ.РФ,506,2024-12-01,1,105323496000.0,
2929,ББР БАНК,939,2024-12-01,1,810560000.0,
2929,ББР БАНК,604,2024-12-01,1,1876098000.0,
2879,АВАНГАРД,621,2024-12-01,1,87421000.0,
2275,УРАЛСИБ,459,2024-12-01,1,2503990000.0,
3173,ВНЕШФИНБАНК,474,2024-12-01,1,1704658000.0,
3173,ВНЕШФИНБАНК,610,2024-12-01,1,196000.0,
1810,АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК,933,2024-12-01,1,47548502000.0,
1810,АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК,502,2024-12-01,1,10344819000.0,
3388,ФИНСЕРВИС,60.0,2024-12-01,1,698100000.0,
3388,ФИНСЕРВИС,616,2024-12-01,1,0.0,
1481,СБЕРБАНК РОССИИ,475,2024-12-01,1,51456207000.0,
2312,БАНК ДОМ.РФ,619,2024-12-01,1,615123000.0,
604,ПЕРВЫЙ ИНВЕСТИЦИОННЫЙ БАНК,504,2024-12-01,1,715679000.0,
480,ТАТСОЦБАНК,304,2024-12-01,1,18559000.0,
3479,УРИ БАНК,319,2024-12-01,1,17500000000.0,
3482,БМВ БАНК,612,2024-12-01,1,0.0,
2312,БАНК ДОМ.РФ,99998,2024-12-01,1,2769918942000.0,
3396,МИР БИЗНЕС БАНК,60.0,2024-12-01,1,1327495000.0,
3542,ОЗОН БАНК,302,2024-12-01,1,20096674000.0,
3542,ОЗОН БАНК,617,2024-12-01,1,346934000.0,
492,ДОНКОМБАНК,319,2024-12-01,1,1995000000.0,
485,ЧЕЛИНДБАНК,454,2024-12-01,1,2605302000.0,Да
3527,БАНК ЧБРР,60.0,2024-12-01,1,49602000.0,
3467,ЮНИСТРИМ,617,2024-12-01,1,108811000.0,
3467,ЮНИСТРИМ,515,2024-12-01,1,10025000.0,
356,ВИТАБАНК,99996,2024-12-01,1,85377000.0,
3550,ЛЦК,60.0,2024-12-01,1,3904000.0,
3298,КЛАССИК ЭКОНОМ БАНК,20.0,2024-12-01,1,82254000.0,
685,РУССКИЙ РЕГИОНАЛЬНЫЙ БАНК,306,2024-12-01,1,0.0,
3468,САНКТ-ПЕТЕРБУРГСКИЙ БАНК ИНВЕСТИЦИЙ,474,2024-12-01,1,10840000.0,
3529,ЧАЙНАСЕЛЬХОЗБАНК,90.5,2024-12-01,1,3472330000.0,
2590,АК БАРС,90.5,2024-12-01,1,1066003338000.0,
2590,АК БАРС,32.2,2024-12-01,1,100786488000.0,
3293,РУСЬУНИВЕРСАЛБАНК,458,2024-12-01,1,381500000.0,Да
328,РОССИЯ,478,2024-12-01,1,21831722000.0,
3407,БНП ПАРИБА БАНК,304,2024-12-01,1,165000.0,
1978,МОСКОВСКИЙ КРЕДИТНЫЙ БАНК,941,2024-12-01,1,85876000.0,
3292,РАЙФФАЙЗЕНБАНК,478,2024-12-01,1,14297440000.0,
3416,УНИФОНДБАНК,90.3,2024-12-01,1,1370000.0,
3416,УНИФОНДБАНК,609,2024-12-01,1,665000.0,
3303,АЗИЯ-ИНВЕСТ БАНК,706,2024-12-01,1,50299358000.0,
3303,АЗИЯ-ИНВЕСТ БАНК,459,2024-12-01,1,62861000.0,
3077,НАЦИОНАЛЬНЫЙ ИНВЕСТИЦИОННО-ПРОМЫШЛЕННЫЙ,32.2,2024-12-01,1,3600000.0,
3077,НАЦИОНАЛЬНЫЙ ИНВЕСТИЦИОННО-ПРОМЫШЛЕННЫЙ,99996,2024-12-01,1,0.0,
436,"БАНК ""САНКТ-ПЕТЕРБУРГ""",99998,2024-12-01,1,1497718460000.0,
436,"БАНК ""САНКТ-ПЕТЕРБУРГ""",32.2,2024-12-01,1,118522682000.0,
436,"БАНК ""САНКТ-ПЕТЕРБУРГ""",610,2024-12-01,1,84189000.0,
436,"БАНК ""САНКТ-ПЕТЕРБУРГ""",478,2024-12-01,1,726385000.0,
3349,РОССЕЛЬХОЗБАНК,609,2024-12-01,1,46759817000.0,
3354,РЕНЕССАНС КРЕДИТ,109,2024-12-01,1,8417813000.0,
3507,СЕВЕРСТРОЙБАНК,604,2024-12-01,1,2997000.0,
3231,АГОРА,32.1,2024-12-01,1,140000000.0,
2996,ПРОКОММЕРЦБАНК,60.0,2024-12-01,1,13581000.0,
2914,АРЕСБАНК,45.0,2024-12-01,1,5859542000.0,
2914,АРЕСБАНК,303,2024-12-01,1,5837099000.0,
2914,АРЕСБАНК,90.4,2024-12-01,1,1746230000.0,
101,БКС БАНК,45.0,2024-12-01,1,30711160000.0,
1927,МОДУЛЬБАНК,109,2024-12-01,1,1108161000.0,
1927,МОДУЛЬБАНК,60.0,2024-12-01,1,3323783000.0,
2065,ЖИВАГО БАНК,106,2024-12-01,1,10242000.0,
1143,ЦИФРА БАНК,609,2024-12-01,1,324224000.0,
1307,ЭНЕРГОТРАНСБАНК,474,2024-12-01,1,2004042000.0,
2216,БАНК ИНТЕЗА,20.0,2024-12-01,1,1261690000.0,
1067,РЕАЛИСТ,612,2024-12-01,1,0.0,
1781,ЕВРОАЛЬЯНС,459,2024-12-01,1,7274000.0,
1788,ПОЧТОБАНК,459,2024-12-01,1,708000.0,
1,ЮНИКРЕДИТ БАНК,90.5,2024-12-01,1,665275269000.0,
1352,НОВОБАНК,302,2024-12-01,1,24395000.0,
1352,НОВОБАНК,301,2024-12-01,1,296083000.0,
2900,ЗЕМСКИЙ БАНК,454,2024-12-01,1,170557000.0,Да
2900,ЗЕМСКИЙ БАНК,474,2024-12-01,1,98894000.0,
2726,ВЕСТЕРН ЮНИОН ДП ВОСТОК,608,2024-12-01,1,531277000.0,
3247,МОСКВА-СИТИ,454,2024-12-01,1,228831000.0,Да
1788,ПОЧТОБАНК,319,2024-12-01,1,170000000.0,
2304,ТАВРИЧЕСКИЙ БАНК,90.6,2024-12-01,1,2405595000.0,
2307,ИНГОССТРАХ БАНК,32.1,2024-12-01,1,202000.0,
1000,ВТБ,466,2024-12-01,1,468000.0,Да
2766,ОТП БАНК,302,2024-12-01,1,4737417000.0,
2766,ОТП БАНК,90.5,2024-12-01,1,21209058000.0,
106,СЕЛЬМАШБАНК,610,2024-12-01,1,9000.0,
170,АВТО ФИНАНС БАНК,459,2024-12-01,1,117798000.0,
170,АВТО ФИНАНС БАНК,475,2024-12-01,1,0.0,
2559,ЗИРААТ БАНК (МОСКВА),99998,2024-12-01,1,12820391000.0,
2225,ЦЕНТР-ИНВЕСТ,475,2024-12-01,1,200000.0,
2881,СОЦИУМ-БАНК,459,2024-12-01,1,25072000.0,
2103,МУНИЦИПАЛЬНЫЙ КАМЧАТПРОФИТБАНК,32.2,2024-12-01,1,2100000.0,
2168,ДРАЙВ КЛИК БАНК,47.1,2024-12-01,1,28795000.0,
2846,СМЛТ,90.4,2024-12-01,1,702523000.0,
1052,МТИ БАНК,60.0,2024-12-01,1,16607000.0,
1052,МТИ БАНК,90.6,2024-12-01,1,4304000.0,
1115,КОСТРОМАСЕЛЬКОМБАНК,458,2024-12-01,1,43710000.0,Да
1281,АРЗАМАС,45.2,2024-12-01,1,101266000.0,
1281,АРЗАМАС,306,2024-12-01,1,153000.0,
2048,САРОВБИЗНЕСБАНК,90.5,2024-12-01,1,598552000.0,
2846,СМЛТ,99998,2024-12-01,1,118275000.0,
2103,МУНИЦИПАЛЬНЫЙ КАМЧАТПРОФИТБАНК,90.6,2024-12-01,1,854617000.0,
1370,УРАЛФИНАНС,506,2024-12-01,1,67464000.0,
1370,УРАЛФИНАНС,941,2024-12-01,1,5112000.0,
2252,ТЕНДЕР-БАНК,933,2024-12-01,1,260575000.0,
2252,ТЕНДЕР-БАНК,604,2024-12-01,1,40677000.0,
1680,КРЕДИ АГРИКОЛЬ КИБ,90.4,2024-12-01,1,59354000.0,
1291,ВАКОБАНК,706,2024-12-01,1,255049000.0,
1291,ВАКОБАНК,454,2024-12-01,1,48660000.0,Да
2034,СЕРВИС РЕЗЕРВ,604,2024-12-01,1,106714000.0,
1354,РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,466,2024-12-01,1,994000.0,Да
2673,ТБанк,454,2024-12-01,1,43055603000.0,Да
2990,БАЙКАЛКРЕДОБАНК,302,2024-12-01,1,448000.0,
2990,БАЙКАЛКРЕДОБАНК,45.2,2024-12-01,1,69959000.0,
2638,ПРОМТРАНСБАНК,45.0,2024-12-01,1,74288000.0,
121,ЦЕНТРОКРЕДИТ,32.2,2024-12-01,1,7315190000.0,
2390,ИТУРУП,90.3,2024-12-01,1,1000.0,
2860,АГРОРОС,90.5,2024-12-01,1,7246875000.0,
2368,БЛАНК БАНК,32.2,2024-12-01,1,186000000.0,
2998,ЭКСПОБАНК,533,2024-12-01,1,71820000.0,
2518,КУБАНЬ КРЕДИТ,533,2024-12-01,1,0.0,
2638,ПРОМТРАНСБАНК,90.4,2024-12-01,1,604078000.0,
1067,РЕАЛИСТ,454,2024-12-01,1,3455142000.0,Да
2307,ИНГОССТРАХ БАНК,474,2024-12-01,1,4281099000.0,
256,ГУТА-БАНК,32.1,2024-12-01,1,3000000000.0,
256,ГУТА-БАНК,45.0,2024-12-01,1,2330234000.0,
3166,ПЛАТЕЖНЫЙ ЦЕНТР,304,2024-12-01,1,10000000.0,
2738,ДЕРЖАВА,507,2024-12-01,1,516646000.0,
2407,МВС БАНК,706,2024-12-01,1,136888000.0,
2407,МВС БАНК,60.0,2024-12-01,1,3911000.0,
1354,РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,454,2024-12-01,1,9519447000.0,Да
2964,УРАЛПРОМБАНК,604,2024-12-01,1,136679000.0,
2964,УРАЛПРОМБАНК,939,2024-12-01,1,0.0,
2733,ПРИМСОЦБАНК,301,2024-12-01,1,8415078000.0,
2733,ПРИМСОЦБАНК,106,2024-12-01,1,1414302000.0,
2880,АГРОПРОМКРЕДИТ,808,2024-12-01,1,561000.0,
3252,ГАЗЭНЕРГОБАНК,610,2024-12-01,1,3205000.0,
1354,РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,459,2024-12-01,1,3709678000.0,
2618,МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ,306,2024-12-01,1,0.0,
2618,МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ,20.0,2024-12-01,1,422018000.0,
2879,АВАНГАРД,32.2,2024-12-01,1,11301093000.0,
2721,СЕВЕРНЫЙ НАРОДНЫЙ БАНК,20.0,2024-12-01,1,354382000.0,
2611,ОБЪЕДИНЕННЫЙ КАПИТАЛ,90.6,2024-12-01,1,2925000.0,
2682,КРОКУС-БАНК,609,2024-12-01,1,36965000.0,
316,ХКФ БАНК,706,2024-12-01,1,196069768000.0,
2443,МЕТКОМБАНК,502,2024-12-01,1,26873105000.0,
2853,СТОЛИЧНЫЙ КРЕДИТ,45.2,2024-12-01,1,89864000.0,
316,ХКФ БАНК,106,2024-12-01,1,7550583000.0,
2990,БАЙКАЛКРЕДОБАНК,106,2024-12-01,1,978000.0,
2838,СИНКО-БАНК,706,2024-12-01,1,1971804000.0,
2838,СИНКО-БАНК,32.1,2024-12-01,1,3800000000.0,
2790,РОСЭКСИМБАНК,319,2024-12-01,1,0.0,
2490,ГЕНБАНК,90.5,2024-12-01,1,149822602000.0,
2506,БАНК РАУНД,106,2024-12-01,1,487173000.0,
3202,НОКССБАНК,608,2024-12-01,1,117193000.0,
3202,НОКССБАНК,20.0,2024-12-01,1,112601000.0,
2929,ББР БАНК,453,2024-12-01,1,128406000.0,Да
2546,НОВИКОМБАНК,90.3,2024-12-01,1,9064459000.0,
3511,ВК ПЛАТЁЖНЫЕ РЕШЕНИЯ,60.0,2024-12-01,1,5948000.0,
1354,РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ КОММЕРЧЕСКИЙ БАНК,620,2024-12-01,1,109874000.0,
2618,МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ,509,2024-12-01,1,0.0,
